sku,issue,details,confidence
ANNIN-182005,"weak_canonical_candidate","canonical=ANNIN-182005 method=fallback_single_token attrs= desc_fp=3 ft x 5 ft u s flag annin tough tex 2 p",0.740
ANNIN-182008,"weak_canonical_candidate","canonical=ANNIN-182008 method=fallback_single_token attrs= desc_fp=5 ft x 8 ft u s flag annin tough tex 2 p",0.740
ANNIN-2270,"weak_canonical_candidate","canonical=ANNIN-2270 method=fallback_single_token attrs= desc_fp=5 ft x 8 ft u s flag annin nyl glo nylon",0.740
ASI-0197-TURBO-MB,"weak_canonical_candidate","canonical=ASI-0197-TURBO-MB method=fallback_single_token attrs=finish desc_fp=high speed hand dryer matte finish",0.740
ASI-SC,"weak_canonical_candidate","canonical=ASI-SC method=fallback_single_token attrs=finish desc_fp=vinyl shower curtain",0.740
ASI-PLAM-OH,"weak_canonical_candidate","canonical=ASI-PLAM-OH method=fallback_single_token attrs=mounting desc_fp=plastic laminate toilet compartment floo",0.740
ASI-UP-PHEN,"weak_canonical_candidate","canonical=ASI-UP-PHEN method=fallback_single_token attrs=material desc_fp=high privacy phenolic toilet compartment",0.740
ASI-PLAS-1T,"weak_canonical_candidate","canonical=ASI-PLAS-1T method=fallback_single_token attrs= desc_fp=plastic locker high humidity or moisture",0.740
ASI-PLAS-2T,"weak_canonical_candidate","canonical=ASI-PLAS-2T method=fallback_single_token attrs= desc_fp=plastic locker high humidity or moisture",0.740
ASI-PLAS-Z,"weak_canonical_candidate","canonical=ASI-PLAS-Z method=fallback_single_token attrs= desc_fp=plastic two person z locker compact full",0.740
ASI-PHEN-1T,"weak_canonical_candidate","canonical=ASI-PHEN-1T method=fallback_single_token attrs=material desc_fp=phenolic locker moisture corrosion high ",0.740
ASI-PHEN-2T,"weak_canonical_candidate","canonical=ASI-PHEN-2T method=fallback_single_token attrs=material desc_fp=phenolic locker moisture corrosion high ",0.740
ASI-PHEN-Z,"weak_canonical_candidate","canonical=ASI-PHEN-Z method=fallback_single_token attrs=material desc_fp=phenolic two person z locker compact ful",0.740
BOB-B224,"weak_canonical_candidate","canonical=BOB-B224 method=fallback_single_token attrs=mounting desc_fp=mounted mop broom holder utility hooks",0.740
BOB-1180-FA,"weak_canonical_candidate","canonical=BOB-1180-FA method=fallback_single_token attrs=material desc_fp=solid phenolic cgl toilet compartment fl",0.740
BOB-2080-CH,"weak_canonical_candidate","canonical=BOB-2080-CH method=fallback_single_token attrs=material desc_fp=solid phenolic cgl toilet compartment ce",0.740
BOB-2180-FTC,"weak_canonical_candidate","canonical=BOB-2180-FTC method=fallback_single_token attrs=material desc_fp=solid phenolic cgl toilet compartment fl",0.740
BOB-US-PHEN,"weak_canonical_candidate","canonical=BOB-US-PHEN method=fallback_single_token attrs=material desc_fp=solid phenolic cgl urinal screen wall br",0.740
BOB-B-2706,"weak_canonical_candidate","canonical=BOB-B-2706 method=fallback_single_token attrs=mounting desc_fp=mounted sanitary napkin tampon vendor al",0.740
BR-6B1-110000T,"weak_canonical_candidate","canonical=BR-6B1-110000T method=fallback_single_token attrs=mounting desc_fp=manual liquid soap gel sanitizer dispens",0.740
BR-2A02,"weak_canonical_candidate","canonical=BR-2A02 method=fallback_single_token attrs=mounting desc_fp=sensored roll towel dispenser",0.740
BR-2A05,"weak_canonical_candidate","canonical=BR-2A05 method=fallback_single_token attrs=mounting desc_fp=folded towel dispenser 12 gallon waste c",0.740
BR-2B5-113400,"weak_canonical_candidate","canonical=BR-2B5-113400 method=fallback_single_token attrs=mounting desc_fp=mounted towel dispenser waste receptacle",0.740
BR-2B5-110000,"weak_canonical_candidate","canonical=BR-2B5-110000 method=fallback_single_token attrs=mounting desc_fp=mounted towel dispenser waste receptacle",0.740
