canonical_sku,attribute_key,value,source_sku,confidence
8120,"finish","stainless",8120-001180,0.900
8120,"material","stainless",8120-001180,0.900
8170,"finish","stainless",8170-001180,0.900
8170,"material","stainless",8170-001180,0.900
8320,"finish","stainless",8320-001180,0.900
8320,"material","stainless",8320-001180,0.900
8322,"finish","stainless",8322-001180,0.900
8322,"material","stainless",8322-001180,0.900
8B1-0011800,"finish","stainless",8B1-0011800,0.790
8B1-0011800,"material","stainless",8B1-0011800,0.790
8B1-0012400,"finish","stainless",8B1-0012400,0.790
8B1-0012400,"material","stainless",8B1-0012400,0.790
8B1-0013096,"finish","stainless",8B1-0013096,0.790
8B1-0013096,"material","stainless",8B1-0013096,0.790
8B1-0013600,"finish","stainless",8B1-0013600,0.790
8B1-0013600,"material","stainless",8B1-0013600,0.790
8B1-0014200,"finish","stainless",8B1-0014200,0.790
8B1-0014200,"material","stainless",8B1-0014200,0.790
8B1-0014800,"finish","stainless",8B1-0014800,0.790
8B1-0014800,"material","stainless",8B1-0014800,0.790
8B1-2011896,"finish","stainless",8B1-2011896,0.790
8B1-2011896,"material","stainless",8B1-2011896,0.790
8B1-2012496,"finish","stainless",8B1-2012496,0.790
8B1-2012496,"material","stainless",8B1-2012496,0.790
8B1-2013696,"finish","stainless",8B1-2013696,0.790
8B1-2013696,"material","stainless",8B1-2013696,0.790
8B1-2014296,"finish","stainless",8B1-2014296,0.790
8B1-2014296,"material","stainless",8B1-2014296,0.790
8B1-2014896,"finish","stainless",8B1-2014896,0.790
8B1-2014896,"material","stainless",8B1-2014896,0.790
ACRO-CG-150N,"mounting","surface",ACRO-CG-150N,0.740
ACRO-CG-SS14,"finish","stainless",ACRO-CG-SS14,0.790
ACRO-CG-SS14,"material","stainless",ACRO-CG-SS14,0.790
ACRO-SHEET-040,size,"040in",ACRO-SHEET-040,0.770
ACRO-SHEET-060,size,"060in",ACRO-SHEET-060,0.770
ADADEPOT-EP5011,"compliance",ADA,ADADEPOT-EP5011,0.740
ADADEPOT-EP5062,"compliance",ADA,ADADEPOT-EP5062,0.740
ADADEPOT-STAIR-LEVEL,"compliance",ADA,ADADEPOT-STAIR-LEVEL,0.740
ADD-ADHESIVE-ALLOW,"mounting","surface",ADD-ADHESIVE-ALLOW,0.740
ADD-ROUGH-OPENING-CHECK,"mounting","recessed",ADD-ROUGH-OPENING-CHECK,0.740
AIVIA-100,"mounting","surface",AIVIA-100,0.740
AMEREX-B260,"compliance","fire",AMEREX-B260,0.740
AMEREX-B262,"compliance","fire",AMEREX-B262,0.740
AMEREX-B272NM,"compliance","fire",AMEREX-B272NM,0.740
AMEREX-B386T,"compliance","fire",AMEREX-B386T,0.740
AMEREX-B456,"compliance","fire",AMEREX-B456,0.820
AMEREX-B500,"compliance","fire",AMEREX-B500,0.820
AMEREX-B570,"compliance","fire",AMEREX-B570,0.740
ASI-0030,"finish","stainless",ASI-0030,0.790
ASI-0030,"material","stainless",ASI-0030,0.790
ASI-0030,"mounting","recessed",ASI-0030,0.790
ASI-0031,"finish","stainless",ASI-0031,0.790
ASI-0031,"material","stainless",ASI-0031,0.790
ASI-0031,"mounting","recessed",ASI-0031,0.790
ASI-0197-TURBO-MB,"finish",matte_black,ASI-0197-TURBO-MB,0.740
ASI-0215,"finish","stainless",ASI-0215,0.790
ASI-0215,"material","stainless",ASI-0215,0.790
ASI-0215,"mounting","recessed",ASI-0215,0.790
ASI-0264,"finish","stainless",ASI-0264,0.790
ASI-0264,"material","stainless",ASI-0264,0.790
ASI-0264,"mounting","surface",ASI-0264,0.790
