canonical_sku,category,manufacturer,model,series,description,sample_skus,confidence,reason
8322,"Grab Bars","Bradley",8322-001180,"8322 Series","Stainless steel grab bar, straight, 1-1/4"" O.D., 18"" L, concealed mount, peened finish",8322-001180|8322-001240|8322-001300|8322-001360|8322-001420|8322-001480,0.900,"grouped|method=asi_4digit_6digit|attrs_extracted|no_conflicts"
8320,"Grab Bars","Bradley",8320-001180,"8320 Series","Stainless steel grab bar, straight, 1-1/4"" O.D., 18"" L, concealed mount, smooth finish",8320-001180|8320-001240|8320-001300|8320-001360|8320-001420|8320-001480|8320-005000|8320-006000,0.900,"grouped|method=asi_4digit_6digit|attrs_extracted|no_conflicts"
8120,"Grab Bars","Bradley",8120-001180,"8120 Series","Stainless steel grab bar, straight, 1-1/2"" O.D., 18"" L, concealed mount, smooth finish",8120-001180|8120-001240|8120-001300|8120-001360|8120-001420|8120-001480,0.900,"grouped|method=asi_4digit_6digit|attrs_extracted|no_conflicts"
8170,"Grab Bars","Bradley",8170-001180,"8170 Series","Stainless steel grab bar, straight, 1-1/2"" O.D., 18"" L, exposed mount, smooth finish",8170-001180|8170-001240|8170-001300|8170-001360|8170-001420|8170-001480,0.900,"grouped|method=asi_4digit_6digit|attrs_extracted|no_conflicts"
GLOBAL-9X5X13-ASH,"Smoking Receptacles","Global Industrial",9 x 5 x 13,"Wall-Mount Ashtray","Stainless steel wall-mounted outdoor ashtray, 9 inch W x 5 inch D x 13 inch H",GLOBAL-9X5X13-ASH|GLOBAL-ASH-9X5X13,0.900,"grouped|method=fallback_single_token|attrs_extracted|no_conflicts"
ROCK-K1050-10X34-630,"Door & Frame Protection",Rockwood,K1050,"Protection Plate","10"" x 34"" kick plate, .050"" satin stainless steel, beveled edges",ROCK-K1050-10X34-630|ROCK-K1050-12X34-630,0.900,"grouped|method=fallback_single_token|attrs_extracted|no_conflicts"
SETON-76866-FE,"Fire Protection Accessories","Seton",76866,"Fire Equipment Signs","Fire extinguisher self-adhesive vinyl fire equipment sign, 12 inch x 24 inch",SETON-76866-FE|FE-SIGN-VINYL-12X24,0.900,"grouped|method=fallback_single_token|attrs_extracted|no_conflicts"
BR-4B2-000000,"Napkin Disposal & Vendors","Bradley",4B2-000000,"Elvari","Recessed napkin disposal, satin stainless steel",BR-4B2-000000|BR-4B2-000000,0.870,"grouped|method=fallback_single_token|attrs_extracted|no_conflicts"
SCR-ECL-OH-STD,"Toilet Partitions","Scranton Products","Overhead Braced",Eclipse,"HDPE toilet compartment, floor-mounted overhead-braced, standard privacy configuration",SCR-ECL-OH-STD|SCR-ECL-OH-STD,0.870,"grouped|method=fallback_single_token|attrs_extracted|no_conflicts"
JL-1013G10,"Fire Protection Specialties","JL Industries",1013G10,"Ambassador","Surface-mounted steel fire extinguisher cabinet, full window door, clear acrylic glazing",JL-1013G10|JL-1013G10,0.870,"grouped|method=fallback_single_token|attrs_extracted|no_conflicts"
ROCK-306B-42-630,"Door & Frame Protection",Rockwood,306B,"Door Edge","93-degree U-shaped non-mortised door edge guard for 1-3/4"" doors, 42"" length, satin stainless steel",ROCK-306B-42-630|ROCK-306B-84-630,0.870,"grouped|method=fallback_single_token|attrs_extracted|no_conflicts"
EDER-45-AL-BRKT,Flagpoles & Flags,"Eder Flag","45 Degree Aluminum Bracket","Wall Bracket","45-degree aluminum wall-mounted flagpole bracket for 1/2 in, 3/4 in, or 15/16 in to 1 in pole diameters",EDER-45-AL-BRKT|EDER-45-AL-BRKT,0.850,"grouped|method=fallback_single_token|attrs_extracted|no_conflicts"
DALITE-85324,"Projection Screens",Da-Lite,85324,Model B CSR,"Manual projection screen with controlled screen return, 106 in diagonal, wall or ceiling mounted",DALITE-85324|DALITE-85324,0.850,"grouped|method=fallback_single_token|attrs_extracted|no_conflicts"
ASI-SCR-36,"Shower Accessories",ASI,SCR-36,"Shower Curtain Rod","Stainless steel shower curtain rod, 36 in",ASI-SCR-36,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-290-1836,"Mirrors","Bobrick",B-290 1836,"B-290 Series","Welded-frame glass mirror, stainless steel angle frame, 18 in x 36 in",BOB-B-290-1836,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BOB-B-290-2436,"Mirrors","Bobrick",B-290 2436,"B-290 Series","Welded-frame glass mirror, stainless steel angle frame, 24 in x 36 in",BOB-B-290-2436,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BR-7B1-0018300,"Mirrors","Bradley",7B1-0018300,"Elvari","Elvari framed mirror, 18 in x 30 in, satin stainless",BR-7B1-0018300,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BR-7B1-0024360,"Mirrors","Bradley",7B1-0024360,"Elvari","Elvari framed mirror, 24 in x 36 in, satin stainless",BR-7B1-0024360,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BR-7B2-0051200,"Shelves & Towel Bars","Bradley",7B2-0051200,"Elvari","5 in x 12 in stainless steel shelf",BR-7B2-0051200,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
BR-7B2-0051296,"Shelves & Towel Bars","Bradley",7B2-0051296,"Elvari","5 in x 12 in stainless steel shelf with hooks",BR-7B2-0051296,0.820,"single_row|method=fallback_single_token|attrs_extracted|no_conflicts"
