modifier_key,issue,details,confidence
CMU-WALL,"install_condition_modifier",,0.800
DECK-MOUNTED,"install_condition_modifier",,0.800
GLASS-MOUNT,"finish_like_modifier",,0.820
GLASS-MOUNT,"install_condition_modifier",,0.800
GRANITE-WALL,"install_condition_modifier",,0.800
MARBLE-WALL,"install_condition_modifier",,0.800
QUARTZ-WALL,"install_condition_modifier",,0.800
RECESSED,"finish_like_modifier",,0.820
RECESSED,"install_condition_modifier",,0.800
RESTRICTED-ACCESS,"finish_like_modifier",,0.820
SEMI-RECESSED,"finish_like_modifier",,0.820
SEMI-RECESSED,"install_condition_modifier",,0.800
STAINLESS,"finish_like_modifier",,0.820
SURFACE-MOUNT,"install_condition_modifier",,0.800
TILE-WALL,"install_condition_modifier",,0.800
"Unassembled","finish_like_modifier",,0.820
WALL-MOUNTED,"install_condition_modifier",,0.800
