sku,current_uom,proposed_uom,confidence,reason
ACRO-CG-150N,EA,LF,0.860,"Wall protection/rail keywords"
ACRO-CG-160BN,EA,LF,0.860,"Wall protection/rail keywords"
ACRO-CG-SS14,EA,LF,0.860,"Wall protection/rail keywords"
ADD-ADHESIVE-ALLOW,EA,LF,0.860,"Wall protection/rail keywords"
ADD-DEMO-REMOVE,EA,LF,0.860,"Wall protection/rail keywords"
ADD-FIELD-CUTTING,EA,LF,0.860,"Wall protection/rail keywords"
ADD-HEIGHT-WORK,EA,LF,0.860,"Wall protection/rail keywords"
ADD-LAYOUT-PARTITIONS,EA,STALL,0.860,"Partition keywords"
ADD-LAYOUT-WALLPROT,EA,LF,0.860,"Wall protection/rail keywords"
ADD-LIFT-REQUIRED,EA,LF,0.860,"Wall protection/rail keywords"
ADD-SUBSTRATE-PREP,EA,LF,0.860,"Wall protection/rail keywords"
ADD-UNLOAD-LARGE,EA,LF,0.860,"Wall protection/rail keywords"
ASI-BRKT-STIRRUP-SS,EA,STALL,0.860,"Partition keywords"
ASI-BRKT-STIRRUP-ZAMAC,EA,STALL,0.860,"Partition keywords"
ASI-HDPE-OH,EA,STALL,0.860,"Partition keywords"
ASI-LATCH-PRIV-SS,EA,STALL,0.860,"Partition keywords"
ASI-LATCH-SS,EA,STALL,0.860,"Partition keywords"
ASI-PC-OH,EA,STALL,0.860,"Partition keywords"
ASI-PHEN-OH,EA,STALL,0.860,"Partition keywords"
ASI-PLAM-OH,EA,STALL,0.860,"Partition keywords"
ASI-SHOE-MB,EA,STALL,0.860,"Partition keywords"
ASI-SHOE-SS,EA,STALL,0.860,"Partition keywords"
ASI-SS-OH,EA,STALL,0.860,"Partition keywords"
ASI-UP-PHEN,EA,STALL,0.860,"Partition keywords"
ASI-US-SS,EA,STALL,0.860,"Partition keywords"
BOB-1080-OH,EA,STALL,0.860,"Partition keywords"
BOB-1180-FA,EA,STALL,0.860,"Partition keywords"
BOB-2080-CH,EA,STALL,0.860,"Partition keywords"
BOB-2180-FTC,EA,STALL,0.860,"Partition keywords"
BOB-DURALINE-CGL-OH,EA,STALL,0.860,"Partition keywords"
BOB-US-PHEN,EA,STALL,0.860,"Partition keywords"
CS-ACRO-CG,EA,LF,0.860,"Wall protection/rail keywords"
CS-CO8-4,EA,LF,0.860,"Wall protection/rail keywords"
CS-CO8-8,EA,LF,0.860,"Wall protection/rail keywords"
INPRO-4118-4,EA,LF,0.860,"Wall protection/rail keywords"
INPRO-834-8,EA,LF,0.860,"Wall protection/rail keywords"
INPRO-CG-160,EA,LF,0.860,"Wall protection/rail keywords"
KORO-G800,EA,LF,0.860,"Wall protection/rail keywords"
PARTS-HR-ENDCAP,EA,STALL,0.860,"Partition keywords"
ROCKWOOD-K1050,EA,LF,0.860,"Wall protection/rail keywords"
SCR-BRKT-HDPE,EA,STALL,0.860,"Partition keywords"
SCR-ECL-FTC,EA,STALL,0.860,"Partition keywords"
SCR-ECL-OH-HIGH,EA,STALL,0.860,"Partition keywords"
SCR-ECL-OH-STD,EA,STALL,0.860,"Partition keywords"
SCR-ECL-OH-STD,EA,STALL,0.860,"Partition keywords"
SCR-HH-OH,EA,STALL,0.860,"Partition keywords"
SCR-HLSLA,EA,STALL,0.860,"Partition keywords"
SCR-US-HDPE,EA,STALL,0.860,"Partition keywords"
