category,row_count_total,row_count_active,active_rows_with_manufacturer
Toilet Accessories,167,167,167
Wall Protection,60,60,60
Partitions,52,52,52
Lockers,51,51,51
Postal Specialties,47,47,47
Fire Specialties,42,42,42
Flags / Flagpoles,40,40,40
Waste & Recycling Receptacles,39,39,39
Visual Display,38,38,38
Signage,36,36,36
Div 10 Add-Ins,31,31,31
Entrance Mats,30,30,30
Custodial Accessories,15,15,15
Shelving & Storage,10,10,10
Access Panels,8,8,8
Bike Racks,7,7,7
Bollards,6,6,6
Plaques,3,3,3
Cubicle Curtains & Track,2,2,2
