id,sku,category,manufacturer,uom,base_material_cost,base_labor_minutes,active,install_labor_family,violation_flags
c9,TP-301,Partitions,Hadrian,EA,150,45,1,,missing_install_labor_family;
c14,FE-10,Fire Specialties,Larsen,EA,75,10,1,,missing_install_labor_family;
c15,FEC-2409,Fire Specialties,Larsen,EA,145,40,1,,missing_install_labor_family;
8170-001240,8170-001240,Toilet Accessories,Bradley,EA,42.75,25,1,,missing_install_labor_family;
8170-001300,8170-001300,Toilet Accessories,Bradley,EA,42.75,25,1,,missing_install_labor_family;
c3,TP-101,Partitions,Hadrian,EA,450,120,1,,missing_install_labor_family;
c8,TP-201,Partitions,Hadrian,EA,850,150,1,,missing_install_labor_family;
8170-001360,8170-001360,Toilet Accessories,Bradley,EA,57.5,25,1,,missing_install_labor_family;
c10,L-1515,Lockers,Penco,EA,210,60,1,,missing_install_labor_family;
c11,L-BENCH,Lockers,Penco,EA,125,30,1,,missing_install_labor_family;
c12,WB-4896,Visual Display,Claridge,EA,320,60,1,,missing_install_labor_family;
c13,TB-4896,Visual Display,Claridge,EA,240,45,1,,missing_install_labor_family;
8170-001420,8170-001420,Toilet Accessories,Bradley,EA,65,25,1,,missing_install_labor_family;
8170-001480,8170-001480,Toilet Accessories,Bradley,EA,71.72,25,1,,missing_install_labor_family;
8320-001180,8320-001180,Toilet Accessories,Bradley,EA,46.74,30,1,,missing_install_labor_family;
8320-001420,8320-001420,Toilet Accessories,Bradley,EA,41.13,30,1,,missing_install_labor_family;
8320-001480,8320-001480,Toilet Accessories,Bradley,EA,48.68,30,1,,missing_install_labor_family;
8320-005000,8320-005000,Toilet Accessories,Bradley,EA,94.5,45,1,,missing_install_labor_family;
8320-006000,8320-006000,Toilet Accessories,Bradley,EA,94.5,45,1,,missing_install_labor_family;
c4,L-1212,Lockers,Penco,EA,185,45,1,,missing_install_labor_family;
8322-001180,8322-001180,Toilet Accessories,Bradley,EA,39.38,30,1,,missing_install_labor_family;
8322-001240,8322-001240,Toilet Accessories,Bradley,EA,42.67,30,1,,missing_install_labor_family;
