source,id,modifier_key,active,applies_to_categories_json
modifiers_v1,mod-ada,ADA,1,"[""Toilet Accessories/Lockers""]"
modifiers_v1,mod-recessed,RECESSED,1,"[""Cabinets/Accessories""]"
modifiers_v1,mod-stainless,STAINLESS,1,"[""Toilet Accessories"",""Partitions"",""Accessories""]"
modifiers_v1,sheet-mod-0b42309118d58ce73f3b,PEENED,1,"[""Toilet Accessories""]"
modifiers_v1,sheet-mod-5741241de51b1608a585,POWDER-COATED,1,"[""Partitions"",""Lockers""]"
modifiers_v1,sheet-mod-4171d465bd531e5e945d,PHENOLIC,1,"[""Partitions""]"
modifiers_v1,sheet-mod-68c122f23761729b7a52,SOLID-PLASTIC,1,"[""Partitions""]"
modifiers_v1,sheet-mod-a3d283e997c40f61e5e9,SEMI-RECESSED,1,"[""Cabinets/Accessories""]"
modifiers_v1,sheet-mod-c163ba42c8653c86ac79,SURFACE-MOUNT,1,"[""Toilet Accessories"",""Wall Protection"",""Accessories""]"
modifiers_v1,sheet-mod-7ef9b55c649dc8ce4350,DECK-MOUNTED,1,"[""Toilet Accessories""]"
modifiers_v1,sheet-mod-06583011441ee97ddab3,WALL-MOUNTED,1,"[""Toilet Accessories"",""Accessories""]"
modifiers_v1,sheet-mod-1c3ba16ea75ad5bd13da,HIGH-RISE,1,"[""Toilet Accessories"",""Partitions"",""Lockers"",""Visual Display Boards""]"
modifiers_v1,sheet-mod-2ea728a129f3c82dfc35,RESTRICTED-ACCESS,1,"[""Toilet Accessories"",""Partitions"",""Lockers"",""Wall Protection""]"
modifiers_v1,sheet-mod-93dae3fe313ef514d390,AFTER-HOURS,1,"[""Toilet Accessories"",""Partitions"",""Lockers"",""Accessories""]"
modifiers_v1,sheet-mod-67ad5a07a2b999e38f22,UNION,1,"[""All Division 10""]"
modifiers_v1,sheet-mod-68b3a84cbfe67086d6df,TILE-WALL,1,"[""Toilet Accessories""]"
modifiers_v1,sheet-mod-9cd45739fe02c324eb7e,CMU-WALL,1,"[""Cabinets/Protection""]"
modifiers_v1,sheet-mod-aec5c8ead67a724bad5d,CONCRETE,1,"[""Toilet Accessories"",""Cabinets"",""Wall Protection""]"
