table_name,row_count,exists
catalog_items,321,1
modifiers_v1,45,1
bundles_v1,29,1
bundle_items_v1,58,1
catalog_sync_status_v1,1,1
catalog_sync_runs_v1,813,1
catalog_sheet_import_rows,0,1
catalog_item_aliases,188,1
catalog_item_attributes,140,1
intake_catalog_memory_v1,0,1
estimator_catalog_attribute_defs,3,1
estimator_parametric_modifiers,4,1
estimator_sku_aliases,1,1
estimator_catalog_item_attributes,3,1
estimator_norm_bundles_v1,1,1
estimator_norm_bundle_items_v1,3,1
estimator_catalog_validation_issues,0,1
settings_v1,1,1
